StoreID,StoreName,Disabled,Abbreviation,ManagerEmployeeID,ManagerCommissionable,Address,City,StateProv,ZipPostal,Country,PhoneNumber,FaxNumber,DistrictName,RegionName,ChannelName,StoreType,GLCode,SquareFootage,LocationCode,Latitude,Longitude,AddressVerified,TimeZone,AdjustDST,CashPolicy,MaxCashDrawer,Serial_on_OE,Phone_on_OE,PAW_on_OE,Comment_on_OE,HideCustomerAddress,EmailAddress,GeneralLocationNotes,SaleInvoiceComment,StaffLevel,BankDetails,Taxes,LeaseStartDate,LeaseEndDate,Rent,PropertyTaxes,InsuranceAmount,OtherCharges,DepositTaken,LeaseNotes,InsuranceCompany,LandlordNotes,LandlordName,RelocationDate,UseLocationEmail,LocationEntityID,DateLastStatusChanged
16,312 Olympus Cove,0,UC312,297,FALSE,3979 Wasatch Blvd Suite A,Salt Lake City,UT,84124,United States,8013080275,8013080277,Salt Lake City,Rocky Mountain Region,Central Market,5 Tier-PPPMW,312,1050,MX017,40.707348,-111.795838,Not Verified,(GMT-07:00) Mountain Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun Closed",,,,"UT - Salt Lake County, 1.9% E911 Fee (UT)",,,0,0,0,0,0,,,,SPRING-OLYMPUS/60146513,,TRUE,29709,
187,713 Bell,0,AZ713,284,FALSE,748 E Bell Rd,Phoenix,AZ,85022,United States,6029233424,,Phoenix West,Southwest Region,West Market,5 Tier-PPPMW,713,0,M4YLS,,,Not Verified,(GMT-07:00) Mountain Time (US & Canada),FALSE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-8pm, Sun 11am-6pm",,,,".8% E911 Fee (AZ), AZ - Sales Tax 8.60%",,,0,0,0,0,0,,,,SPRING - BELL RD/60109439,,TRUE,29806,
212,292 Kearny Mesa,0,CA292,284,FALSE,8006 Clairemont Mesa Blvd,San Diego,CA,92111,United States,8585654000,,San Diego South,Southwest Region,West Market,5 Tier-PPPMW,292,0,66OTI,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-8pm, Sun 11am-6pm",,,,"CA - Sales Tax 7.75%, 5.9% E911 Fee (CA)",,,0,0,0,0,0,,,,SPRING - CA - CLAIREMONT MESA BLVD/60145097,,TRUE,29822,
1134,1551 Galleria,0,1551C,284,FALSE,1151 Galleria Blvd Suite 263,Roseville,CA,95678,United States,9167746400,,Sacramento North,OR/CA Region,West Market,5 Tier-PPPMW,1551,0,6G0FB,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-9pm, Sun 11am-7pm",,,,"CA - Sales Tax 7.25%, 5.9% E911 Fee (CA)",,,0,0,0,0,0,"8/1/15
Relocated on 6/1/2017 RS",,,SPRING - GALLERIA INLINE/60143831,,TRUE,59732,2015-07-10T09:31:17.377
1117,1534 Walnut Creek,0,1534C,284,FALSE,2355 Oak Grove Rd Building H,Walnut Creek,CA,94598,United States,9257984480,,Bay Area North,Central California Region,West Market,5 Tier-PPPMW,1534,0,9LUBG,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 10am-6pm",,,,"CA - Sales Tax 8.25%, 5.9% E911 Fee (CA)",,,0,0,0,0,0,8/1/2015,,,SPRING - P HILL/60143832,,TRUE,59696,2015-07-10T09:25:54.493
2297,1596 Fremont Mowry,0,1596C,284,FALSE,3171 Mowry Ave,Freemont,CA,94538,United States,5107365606,,Silicon Valley North,Central California Region,West Market,5 Tier-PPPMW,1596,0,GGDEZ,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,"CA - Sales Tax 9.25%, 5.9% E911 Fee (CA)",,,0,0,0,0,0,8/2/2017,,,,,TRUE,133815,
2280,2060 Johnson Creek,0,2060O,284,FALSE,10413 SE 82nd Ave Suite 2,Portland,OR,97086,United States,5038508803,,Portland West,OR/CA Region,West Market,5 Tier-PPPMW,2060,0,XQGWB,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-8pm, Sun 11am-6pm",,,,$.75 E911 Fee (OR),,,0,0,0,0,0,3/8/2017,,,,,TRUE,112252,
1761,2150 Fergus Falls,0,2150M,268,FALSE,2312 College Way,Fergus Falls,MN,56537,United States,2187397000,,Minnesota North,Northern Plains Region,Central Market,5 Tier-PPPMW,2150,0,4S604,,,Not Verified,(GMT-06:00) Central Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9am-7pm, Sun Closed",,,,"$.84 E911 Fee (MN), MN - Sales Tax 7.875%",,,0,0,0,0,0,6/1/2016,,,,,TRUE,87743,2016-05-15T21:03:48.73
534,855 Berwick,0,GA855,281,FALSE,5914 Ogeechee Rd,Savannah,GA,31419,United States,9124431711,,Coastal,GA/SC Region,South Market,5 Tier-PPPMW,855,0,ERIFL,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 10am-7pm, Sun 12pm-5pm",,,,"$.75 E911 Fee (GA), GA - Sales Tax 7%",,,0,0,0,0,0,,,,SPRING COMMUNICATIONS - OGEECHEE ROAD/60344425,,TRUE,77790,
2296,2636 Martinez,0,2636G,2187,FALSE,212 Bobby Jones Expy Suite B,Martinez,GA,30907,United States,7066176330,,Coastal,GA/SC Region,South Market,5 Tier-PPPMW,2636,0,DCB0L,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,"$.75 E911 Fee (GA), GA - Sales Tax 8%",,,0,0,0,0,0,7/14/2017,,,,,TRUE,133814,
